PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
-8.657804497425246,-1.451679949496058,-8.10732111070737,-6.391143722465429,-0.9346854954494809,-0.7687011068925621
-7.693182414951441,-1.053718546049453,-0.9243969350227345,-0.658897891550509,0.5182123465721729,-3.62078525280965
-8.679365774907463,-1.5038823512568131,-8.100643900546265,-6.402466242125828,-1.1312423257619764,-1.069500523963581
-8.695536733019127,-1.5430341525773792,-8.095635992925436,-6.410958131871126,-1.2786599484963468,-1.2951000867668443
-8.673975455536908,-1.4908317508166242,-8.10231320308654,-6.399635612210728,-1.0821031181838525,-0.994300669695826
-4.956328043319998,-5.129707677234294,2.482516317948603,0.055928620483373714,-3.1062594164517714,1.8623078982317232
-4.902424849614455,-4.999201672832407,2.4658232925458416,0.0842349196343694,-2.614867340670534,2.6143064409092682
-4.988669959543324,-5.208011279875427,2.49253213319026,0.0389448409927759,-3.4010946619205145,1.4111087726251959
-5.0102312370255415,-5.2602136816361815,2.4992093433513642,0.02762232133237757,-3.597651492233008,1.1103093555541774
-4.994060278913878,-5.221061880315616,2.494201435730536,0.03611421107767615,-3.4502338694986365,1.335908918357441
-5.004840917654987,-5.247163081195993,2.497540040811088,0.030452951247477097,-3.548512284654884,1.1855092098219318
-5.004840917654987,-5.247163081195993,2.497540040811088,0.030452951247477097,-3.548512284654884,1.1855092098219318
-4.988669959543324,-5.208011279875427,2.49253213319026,0.0389448409927759,-3.4010946619205145,1.4111087726251959
-4.977889320802215,-5.181910078995049,2.4891935281097077,0.04460610082297495,-3.3028162467642663,1.561508481160705
-4.9832796401727695,-5.194960679435238,2.490862830649984,0.04177547090787542,-3.35195545434239,1.4863086268929504
-4.977889320802215,-5.181910078995049,2.4891935281097077,0.04460610082297495,-3.3028162467642663,1.561508481160705
-4.972499001431661,-5.16885947855486,2.487524225569431,0.047436730738074695,-3.2536770391861425,1.6367083354284595
-4.999450598284433,-5.234112480755805,2.495870738270812,0.033283581162576625,-3.4993730770767604,1.2607090640896865
-4.988669959543324,-5.208011279875427,2.49253213319026,0.0389448409927759,-3.4010946619205145,1.4111087726251959
-4.972499001431661,-5.16885947855486,2.487524225569431,0.047436730738074695,-3.2536770391861425,1.6367083354284595
-4.999450598284433,-5.234112480755805,2.495870738270812,0.033283581162576625,-3.4993730770767604,1.2607090640896865
-4.977889320802215,-5.181910078995049,2.4891935281097077,0.04460610082297495,-3.3028162467642663,1.561508481160705
-4.956328043319998,-5.129707677234294,2.482516317948603,0.055928620483373714,-3.1062594164517714,1.8623078982317232
-4.977889320802215,-5.181910078995049,2.4891935281097077,0.04460610082297495,-3.3028162467642663,1.561508481160705
-4.956328043319998,-5.129707677234294,2.482516317948603,0.055928620483373714,-3.1062594164517714,1.8623078982317232
-4.902424849614455,-4.999201672832407,2.4658232925458416,0.0842349196343694,-2.614867340670534,2.6143064409092682
-4.988669959543324,-5.208011279875427,2.49253213319026,0.0389448409927759,-3.4010946619205145,1.4111087726251959
-5.0102312370255415,-5.2602136816361815,2.4992093433513642,0.02762232133237757,-3.597651492233008,1.1103093555541774
-4.994060278913878,-5.221061880315616,2.494201435730536,0.03611421107767615,-3.4502338694986365,1.335908918357441
-5.004840917654987,-5.247163081195993,2.497540040811088,0.030452951247477097,-3.548512284654884,1.1855092098219318
-5.004840917654987,-5.247163081195993,2.497540040811088,0.030452951247477097,-3.548512284654884,1.1855092098219318
-4.988669959543324,-5.208011279875427,2.49253213319026,0.0389448409927759,-3.4010946619205145,1.4111087726251959
-4.977889320802215,-5.181910078995049,2.4891935281097077,0.04460610082297495,-3.3028162467642663,1.561508481160705
-4.9832796401727695,-5.194960679435238,2.490862830649984,0.04177547090787542,-3.35195545434239,1.4863086268929504
-4.977889320802215,-5.181910078995049,2.4891935281097077,0.04460610082297495,-3.3028162467642663,1.561508481160705
